Rank,Population Density ▼,City / Population,,,,
223,752.8/sq mi,"Buford, GA / 12,864",,,,
224,751.8/sq mi,"Experiment, GA / 2,241",,,,
225,751.6/sq mi,"Montgomery, GA / 4,560",,,,
226,750.2/sq mi,"La Grange, GA / 30,138",,,,
227,745.9/sq mi,"Omega, GA / 1,346",,,,
228,735.4/sq mi,"Louisville, GA / 2,705",,,,
229,733.7/sq mi,"Homerville, GA / 2,573",,,,
230,731.1/sq mi,"Rockmart, GA / 4,174",,,,
231,729.7/sq mi,"Williamson, GA / 436",,,,
232,729.3/sq mi,"Eton, GA / 879",,,,
233,724.4/sq mi,"Dearing, GA / 597",,,,
234,724.2/sq mi,"Saint Simons, GA / 12,807",,,,
235,721.0/sq mi,"Montezuma, GA / 3,338",,,,
236,719.2/sq mi,"Oglethorpe, GA / 1,468",,,,
237,717.4/sq mi,"Guyton, GA / 2,308",,,,
238,717.2/sq mi,"Porterdale, GA / 1,701",,,,
239,715.7/sq mi,"Crawford, GA / 840",,,,
240,714.9/sq mi,"Buchanan, GA / 1,209",,,,
241,714.4/sq mi,"Statham, GA / 2,544",,,,
242,712.7/sq mi,"Buena Vista, GA / 2,347",,,,
243,706.6/sq mi,"Vienna, GA / 3,880",,,,
244,705.3/sq mi,"Richmond Hill, GA / 10,334",,,,
245,705.3/sq mi,"Saint Marys, GA / 17,555",,,,
246,704.9/sq mi,"Plains, GA / 574",,,,
247,702.2/sq mi,"Poulan, GA / 1,175",,,,
248,701.9/sq mi,"Heron Bay, GA / 3,435",,,,
249,697.9/sq mi,"Blairsville, GA / 776",,,,
250,697.4/sq mi,"Coolidge, GA / 571",,,,
251,695.1/sq mi,"Sycamore, GA / 703",,,,
252,690.6/sq mi,"Soperton, GA / 3,082",,,,
253,686.6/sq mi,"Dock Junction, GA / 7,261",,,,
254,685.7/sq mi,"Baldwin, GA / 3,373",,,,
255,684.5/sq mi,"Attapulgus, GA / 545",,,,
256,681.4/sq mi,"Donalsonville, GA / 2,720",,,,
257,680.7/sq mi,"Dahlonega, GA / 5,884",,,,
258,680.2/sq mi,"Pooler, GA / 20,646",,,,
259,677.4/sq mi,"Sardis, GA / 1,058",,,,
260,677.3/sq mi,"Cartersville, GA / 19,858",,,,
261,674.3/sq mi,"Fort Oglethorpe, GA / 9,368",,,,
262,672.4/sq mi,"Forsyth, GA / 3,964",,,,
263,669.8/sq mi,"Lexington, GA / 367",,,,
264,666.2/sq mi,"Alapaha, GA / 684",,,,
265,664.2/sq mi,"Senoia, GA / 3,627",,,,
266,661.9/sq mi,"Davisboro, GA / 2,022",,,,
267,661.0/sq mi,"Ellaville, GA / 2,099",,,,
